union_type,union_name,union_location,union_members,union_detail_href
CWA,COMMUNICATIONS WORKERS Local 9119,2510 CHANNING WAYBERKELEY, CA 94704,6686,http://www.unions.org/unions/communication-workers-of-america/local-9119/7638
CWA,COMMUNICATIONS WORKERS Local 9404,7 MOUNT LASSEN, SUITE C-150SAN RAFAEL, CA 94903,663,http://www.unions.org/unions/communication-workers-of-america/local-9404/9214
CWA,COMMUNICATIONS WORKERS Local 9423,2015 NAGLEE AVENUESAN JOSE, CA 951284801,2020,http://www.unions.org/unions/communication-workers-of-america/local-9423/9102
CWA,COMMUNICATIONS WORKERS Local 9417,404 W HARDING WAYSTOCKTON, CA 952045609,486,http://www.unions.org/unions/communication-workers-of-america/local-9417/11370
CWA,COMMUNICATIONS WORKERS Local 14908,906 SOUTH LEE AVELODI, CA 95240,10,http://www.unions.org/unions/communication-workers-of-america/local-14908/12589
CWA,COMMUNICATIONS WORKERS Local 9431,161 PALM AVENUE, SUITE 9AUBURN, CA 956033718,234,http://www.unions.org/unions/communication-workers-of-america/local-9431/4925
CWA,COMMUNICATIONS WORKERS Local 9421,2725 EL CAMINO AVENUESACRAMENTO, CA 95821,2356,http://www.unions.org/unions/communication-workers-of-america/local-9421/8731
GMP,GLASS MOLDERS PLASTICS Local 254,3064 W. SAN CARLOSFRESNO, CA 937112624,298,http://www.unions.org/unions/glass,-molders,-pottery,-plastics,-allied-workers-international-union/local-254/14706
GMP,GLASS MOLDERS PLASTICS Local 177,491 VINEWOOD DROAKLEY, CA 945612411,386,http://www.unions.org/unions/glass,-molders,-pottery,-plastics,-allied-workers-international-union/local-177/3706
GMP,GLASS MOLDERS PLASTICS Local 141,2077 WASHINGTON AVE #103SAN LEANDRO, CA 94577,160,http://www.unions.org/unions/glass,-molders,-pottery,-plastics,-allied-workers-international-union/local-141/9467
GMP,GLASS MOLDERS PLASTICS Local 164,8140 BALDWIN STREETOAKLAND, CA 94621,600,http://www.unions.org/unions/glass,-molders,-pottery,-plastics,-allied-workers-international-union/local-164/1769
GMP,GLASS MOLDERS PLASTICS Local 2,330 BUTTERFIELD RDSAN ANSELMO, CA 949601223,86,http://www.unions.org/unions/glass,-molders,-pottery,-plastics,-allied-workers-international-union/local-2/5753
GMP,GLASS MOLDERS PLASTICS Local 52,1531 JACOB AVESAN JOSE, CA 951181628,244,http://www.unions.org/unions/glass,-molders,-pottery,-plastics,-allied-workers-international-union/local-52/5256
GMP,GLASS MOLDERS PLASTICS Local 17,EMPIRE, CA 953191808,680,http://www.unions.org/unions/glass,-molders,-pottery,-plastics,-allied-workers-international-union/local-17/11237
